| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0309] End of vertical swaps; objective is 3.027845e+08, improvement is 0.44 percent.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0303] Running algorithm for reordering.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0304] Pass   1 of reordering; objective is 3.027157e+08.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0305] End of reordering; objective is 3.027157e+08, improvement is 0.02 percent.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0303] Running algorithm for random improvement.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0324] Random improver is using random generator.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0325] Random improver is using hpwl objective.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0326] Random improver cost string is (a).
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0332] End of pass, Generator random called 125280 times.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0335] Generator random, Cumulative attempts 125280, swaps 33984, moves 81879 since last reset.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0333] End of pass, Objective hpwl, Initial cost 2.975587e+08, Scratch cost 2.948656e+08, Incremental cost 2.948656e+08, Mismatch? N
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0338] End of pass, Total cost is 2.948656e+08.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0327] Pass   1 of random improver; improvement in cost is 0.91 percent.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0328] End of random improver; improvement is 0.905084 percent.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0380] Cell flipping.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0382] Changed 0 cell orientations for row compatibility.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0383] Performed 1709 cell flips.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0384] End of flipping; objective is 2.970380e+08, improvement is 1.00 percent.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0313] Found 0 cells in wrong regions.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0315] Found 0 row alignment problems.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0314] Found 0 site alignment problems.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0311] Found 0 overlaps between adjacent cells.
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0312] Found 0 edge spacing violations and 0 padding violations.
| INFO     | job0 | place.detailed       | 0 | Detailed Improvement Results
| INFO     | job0 | place.detailed       | 0 | ------------------------------------------
| INFO     | job0 | place.detailed       | 0 | Original HPWL           250351.6 u (  117211.9,   133139.7)
| INFO     | job0 | place.detailed       | 0 | Final HPWL              239745.8 u (  112530.4,   127215.4)
| INFO     | job0 | place.detailed       | 0 | Delta HPWL                  -4.2 % (      -4.0,       -4.4)
| INFO     | job0 | place.detailed       | 0 | 
| INFO     | job0 | place.detailed       | 0 | [WARNING GRT-0281] Net clk has a large fanout of 1577 terminals.
| INFO     | job0 | place.detailed       | 0 | Placement Analysis
| INFO     | job0 | place.detailed       | 0 | ---------------------------------
| INFO     | job0 | place.detailed       | 0 | total displacement          0.0 u
| INFO     | job0 | place.detailed       | 0 | average displacement        0.0 u
| INFO     | job0 | place.detailed       | 0 | max displacement            0.0 u
| INFO     | job0 | place.detailed       | 0 | original HPWL          239745.8 u
| INFO     | job0 | place.detailed       | 0 | legalized HPWL         242009.6 u
| INFO     | job0 | place.detailed       | 0 | delta HPWL                    1 %
| INFO     | job0 | place.detailed       | 0 | 
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0020] Mirrored 1799 instances
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0021] HPWL before          242009.6 u
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0022] HPWL after           239273.3 u
| INFO     | job0 | place.detailed       | 0 | [INFO DPL-0023] HPWL delta               -1.1 %
| INFO     | job0 | place.detailed       | 0 | Writing database: outputs/picorv32_top.odb.gz
| INFO     | job0 | place.detailed       | 0 | Writing DEF: outputs/picorv32_top.def.gz
| INFO     | job0 | place.detailed       | 0 | Writing netlist: outputs/picorv32_top.vg
| INFO     | job0 | place.detailed       | 0 | Writing LEC netlist: outputs/picorv32_top.lec.vg
| INFO     | job0 | place.detailed       | 0 | Writing SDC: outputs/picorv32_top.sdc
| INFO     | job0 | place.detailed       | 0 | SC_METRIC: report_checks -path_delay max
| INFO     | job0 | place.detailed       | 0 | Startpoint: pcpi_rs1[1]$_DFFE_PP_
| INFO     | job0 | place.detailed       | 0 |             (rising edge-triggered flip-flop clocked by clk)
| INFO     | job0 | place.detailed       | 0 | Endpoint: pcpi_rs1[31]$_DFFE_PP_
| INFO     | job0 | place.detailed       | 0 |           (rising edge-triggered flip-flop clocked by clk)
| INFO     | job0 | place.detailed       | 0 | Path Group: clk
| INFO     | job0 | place.detailed       | 0 | Path Type: max
| INFO     | job0 | place.detailed       | 0 | Corner: slow
| INFO     | job0 | place.detailed       | 0 | 
| INFO     | job0 | place.detailed       | 0 | Fanout     Cap    Slew   Delay    Time   Description
| INFO     | job0 | place.detailed       | 0 | -----------------------------------------------------------------------------
| INFO     | job0 | place.detailed       | 0 |                   0.00    0.00    0.00   clock clk (rise edge)
| INFO     | job0 | place.detailed       | 0 |                           0.00    0.00   clock network delay (ideal)
| INFO     | job0 | place.detailed       | 0 |                   0.00    0.00    0.00 ^ pcpi_rs1[1]$_DFFE_PP_/CLK (sky130_fd_sc_hd__edfxtp_1)
| INFO     | job0 | place.detailed       | 0 |      3    0.01    0.37    1.76    1.76 v pcpi_rs1[1]$_DFFE_PP_/Q (sky130_fd_sc_hd__edfxtp_1)
| INFO     | job0 | place.detailed       | 0 |                                          net518 (net)
| INFO     | job0 | place.detailed       | 0 |                   0.37    0.00    1.76 v _5903_/A (sky130_fd_sc_hd__xnor2_2)
| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.51    0.80    2.56 ^ _5903_/Y (sky130_fd_sc_hd__xnor2_2)
| INFO     | job0 | place.detailed       | 0 |                                          _1758_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.51    0.00    2.56 ^ _5905_/A2 (sky130_fd_sc_hd__o21ai_1)
| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.19    0.43    2.99 v _5905_/Y (sky130_fd_sc_hd__o21ai_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1760_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.19    0.00    2.99 v _5906_/C (sky130_fd_sc_hd__maj3_2)
| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.20    1.46    4.45 v _5906_/X (sky130_fd_sc_hd__maj3_2)
| INFO     | job0 | place.detailed       | 0 |                                          _1761_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.20    0.00    4.45 v _5907_/C (sky130_fd_sc_hd__maj3_2)
| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.21    1.49    5.94 v _5907_/X (sky130_fd_sc_hd__maj3_2)
| INFO     | job0 | place.detailed       | 0 |                                          _1762_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.21    0.00    5.94 v _5908_/C (sky130_fd_sc_hd__maj3_2)
| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.21    1.49    7.43 v _5908_/X (sky130_fd_sc_hd__maj3_2)
| INFO     | job0 | place.detailed       | 0 |                                          _1763_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.21    0.00    7.43 v _5909_/C (sky130_fd_sc_hd__maj3_2)
| INFO     | job0 | place.detailed       | 0 |      3    0.01    0.23    1.53    8.96 v _5909_/X (sky130_fd_sc_hd__maj3_2)
| INFO     | job0 | place.detailed       | 0 |                                          _1764_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.23    0.00    8.96 v _5913_/A2 (sky130_fd_sc_hd__a211oi_2)
| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.71    1.04   10.01 ^ _5913_/Y (sky130_fd_sc_hd__a211oi_2)
| INFO     | job0 | place.detailed       | 0 |                                          _1768_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.71    0.00   10.01 ^ _5915_/A3 (sky130_fd_sc_hd__o31ai_1)
| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.22    0.52   10.53 v _5915_/Y (sky130_fd_sc_hd__o31ai_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1770_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.22    0.00   10.53 v _5916_/C (sky130_fd_sc_hd__maj3_2)
| INFO     | job0 | place.detailed       | 0 |      3    0.01    0.22    1.53   12.06 v _5916_/X (sky130_fd_sc_hd__maj3_2)
| INFO     | job0 | place.detailed       | 0 |                                          _1771_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.22    0.00   12.06 v _5919_/A2 (sky130_fd_sc_hd__a211oi_2)
| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.88    1.17   13.23 ^ _5919_/Y (sky130_fd_sc_hd__a211oi_2)
| INFO     | job0 | place.detailed       | 0 |                                          _1774_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.88    0.00   13.23 ^ _5922_/A3 (sky130_fd_sc_hd__o311ai_1)
