| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[28] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[28] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[27] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[27] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[26] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[26] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[25] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[25] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[24] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[24] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[23] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[23] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[22] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[22] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[21] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[21] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[20] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[20] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[19] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[19] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[18] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[18] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[17] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[17] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[16] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[15] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[15] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[14] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[14] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[13] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[13] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[31] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[12] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[12] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[30] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[29] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[11] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[11] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[27] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[10] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[10] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[26] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[25] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[24] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[9] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[9] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[23] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[22] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[8] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[8] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[21] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[7] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[7] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[19] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[18] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[6] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[6] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[17] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[16] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[5] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[5] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[15] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[14] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[4] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[4] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[13] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[3] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[3] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[11] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[10] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[2] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[9] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[2] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[8] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[7] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[1] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[6] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout1[0] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[5] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/dout0[0] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[3] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[2] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[1] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/din0[0] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/wmask0[3] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/wmask0[2] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/wmask0[1] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/addr0[1] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [WARNING MPL-0002] Couldn't align pin sram/addr0[0] from layer met4 to the track-grid.
| INFO     | job0 | floorplan.macro_p... | 0 | [INFO FLW-0001] Removed 0 blockages created during macro placement
| INFO     | job0 | floorplan.macro_p... | 0 | Macro placement information:
| INFO     | job0 | floorplan.macro_p... | 0 |   sram (sky130_sram_2kbyte_1rw1r_32x512_8): LOCKED at (50.83 um, 51.15 um) R180
| INFO     | job0 | floorplan.macro_p... | 0 | Writing database: outputs/picorv32_top.odb.gz
| INFO     | job0 | floorplan.macro_p... | 0 | Writing DEF: outputs/picorv32_top.def.gz
| INFO     | job0 | floorplan.macro_p... | 0 | Writing netlist: outputs/picorv32_top.vg
| INFO     | job0 | floorplan.macro_p... | 0 | Writing LEC netlist: outputs/picorv32_top.lec.vg
| INFO     | job0 | floorplan.macro_p... | 0 | Writing SDC: outputs/picorv32_top.sdc
| INFO     | job0 | floorplan.macro_p... | 0 | SC_METRIC: report_checks -path_delay max
| INFO     | job0 | floorplan.macro_p... | 0 | Startpoint: _8936_ (rising edge-triggered flip-flop clocked by clk)
| INFO     | job0 | floorplan.macro_p... | 0 | Endpoint: pcpi_rs1[19]$_DFFE_PP_
| INFO     | job0 | floorplan.macro_p... | 0 |           (rising edge-triggered flip-flop clocked by clk)
| INFO     | job0 | floorplan.macro_p... | 0 | Path Group: clk
| INFO     | job0 | floorplan.macro_p... | 0 | Path Type: max
| INFO     | job0 | floorplan.macro_p... | 0 | Corner: slow
| INFO     | job0 | floorplan.macro_p... | 0 | 
| INFO     | job0 | floorplan.macro_p... | 0 | Fanout     Cap    Slew   Delay    Time   Description
